,metric,method,truncation_mode,level,k,silhouette,DBscore
143,cityblock,weighted,,3,9,0.24832354209489682,1.7543593987101676
144,cityblock,weighted,,3,10,0.2480480685746548,1.669136591411807
145,cityblock,weighted,,4,6,0.2790223670184186,2.0146596809905004
146,cityblock,weighted,,4,7,0.2538074977398914,1.9539343379918168
147,cityblock,weighted,,4,8,0.25067580862625694,1.8883530920187213
148,cityblock,weighted,,4,9,0.24832354209489682,1.7543593987101676
149,cityblock,weighted,,4,10,0.2480480685746548,1.669136591411807
150,cityblock,weighted,lastp,2,6,0.2790223670184186,2.0146596809905004
151,cityblock,weighted,lastp,2,7,0.2538074977398914,1.9539343379918168
152,cityblock,weighted,lastp,2,8,0.25067580862625694,1.8883530920187213
153,cityblock,weighted,lastp,2,9,0.24832354209489682,1.7543593987101676
154,cityblock,weighted,lastp,2,10,0.2480480685746548,1.669136591411807
155,cityblock,weighted,lastp,3,6,0.2790223670184186,2.0146596809905004
156,cityblock,weighted,lastp,3,7,0.2538074977398914,1.9539343379918168
157,cityblock,weighted,lastp,3,8,0.25067580862625694,1.8883530920187213
158,cityblock,weighted,lastp,3,9,0.24832354209489682,1.7543593987101676
159,cityblock,weighted,lastp,3,10,0.2480480685746548,1.669136591411807
160,cityblock,weighted,lastp,4,6,0.2790223670184186,2.0146596809905004
161,cityblock,weighted,lastp,4,7,0.2538074977398914,1.9539343379918168
162,cityblock,weighted,lastp,4,8,0.25067580862625694,1.8883530920187213
163,cityblock,weighted,lastp,4,9,0.24832354209489682,1.7543593987101676
164,cityblock,weighted,lastp,4,10,0.2480480685746548,1.669136591411807
165,cityblock,weighted,level,2,6,0.2790223670184186,2.0146596809905004
166,cityblock,weighted,level,2,7,0.2538074977398914,1.9539343379918168
167,cityblock,weighted,level,2,8,0.25067580862625694,1.8883530920187213
168,cityblock,weighted,level,2,9,0.24832354209489682,1.7543593987101676
169,cityblock,weighted,level,2,10,0.2480480685746548,1.669136591411807
170,cityblock,weighted,level,3,6,0.2790223670184186,2.0146596809905004
171,cityblock,weighted,level,3,7,0.2538074977398914,1.9539343379918168
172,cityblock,weighted,level,3,8,0.25067580862625694,1.8883530920187213
173,cityblock,weighted,level,3,9,0.24832354209489682,1.7543593987101676
174,cityblock,weighted,level,3,10,0.2480480685746548,1.669136591411807
175,cityblock,weighted,level,4,6,0.2790223670184186,2.0146596809905004
176,cityblock,weighted,level,4,7,0.2538074977398914,1.9539343379918168
177,cityblock,weighted,level,4,8,0.25067580862625694,1.8883530920187213
178,cityblock,weighted,level,4,9,0.24832354209489682,1.7543593987101676
179,cityblock,weighted,level,4,10,0.2480480685746548,1.669136591411807
180,correlation,complete,,2,6,0.18164962953150152,1.7729838517131917
181,correlation,complete,,2,7,0.1813078945821001,1.7255643393848115
182,correlation,complete,,2,8,0.18338251201000702,1.7742867828761035
183,correlation,complete,,2,9,0.15485626427776394,1.708498908971925
184,correlation,complete,,2,10,0.24394659246798833,1.597623361703236
185,correlation,complete,,3,6,0.18164962953150152,1.7729838517131917
186,correlation,complete,,3,7,0.1813078945821001,1.7255643393848115
187,correlation,complete,,3,8,0.18338251201000702,1.7742867828761035
188,correlation,complete,,3,9,0.15485626427776394,1.708498908971925
189,correlation,complete,,3,10,0.24394659246798833,1.597623361703236
