+-------------+----------+---------+---------+---------+-----------------------+--------------------+
|   Field 1   | Field 2  | Field 3 | Field 4 | Field 5 |        Field 6        |      Field 7       |
|  cityblock  | average  |  level  |    3    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |  level  |    3    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |  level  |    4    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |  level  |    4    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |  level  |    4    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |  level  |    4    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | weighted |   None  |    2    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |   None  |    2    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |   None  |    2    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |   None  |    2    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |   None  |    3    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |   None  |    3    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |   None  |    3    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |   None  |    3    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |   None  |    4    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |   None  |    4    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |   None  |    4    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |   None  |    4    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |  lastp  |    2    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |  lastp  |    2    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |  lastp  |    2    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |  lastp  |    2    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |  lastp  |    3    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |  lastp  |    3    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |  lastp  |    3    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |  lastp  |    3    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |  lastp  |    4    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |  lastp  |    4    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |  lastp  |    4    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |  lastp  |    4    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |  level  |    2    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |  level  |    2    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |  level  |    2    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |  level  |    2    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |  level  |    3    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |  level  |    3    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |  level  |    3    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |  level  |    3    |    10   |   0.1602667507713102  | 1.4299560695883875 |
|  cityblock  | weighted |  level  |    4    |    7    |  0.12933735550633327  | 1.5646465044965818 |
|  cityblock  | weighted |  level  |    4    |    8    |  0.16219466174482974  | 1.550691238334586  |
|  cityblock  | weighted |  level  |    4    |    9    |  0.16156335606397795  | 1.4428502574285293 |
|  cityblock  | weighted |  level  |    4    |    10   |   0.1602667507713102  | 1.4299560695883875 |
| correlation | complete |   None  |    2    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |   None  |    2    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |   None  |    2    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |   None  |    2    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |   None  |    3    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |   None  |    3    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |   None  |    3    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |   None  |    3    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |   None  |    4    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |   None  |    4    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |   None  |    4    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |   None  |    4    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |  lastp  |    2    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |  lastp  |    2    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |  lastp  |    2    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |  lastp  |    2    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |  lastp  |    3    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |  lastp  |    3    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |  lastp  |    3    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |  lastp  |    3    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |  lastp  |    4    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |  lastp  |    4    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |  lastp  |    4    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |  lastp  |    4    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |  level  |    2    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |  level  |    2    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |  level  |    2    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |  level  |    2    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |  level  |    3    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |  level  |    3    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |  level  |    3    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |  level  |    3    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation | complete |  level  |    4    |    7    |  0.17561252641257194  | 1.6825232458473405 |
| correlation | complete |  level  |    4    |    8    |  0.23635497242007478  | 1.8399743666005204 |
| correlation | complete |  level  |    4    |    9    |  0.23630868242708958  | 1.754053662338985  |
| correlation | complete |  level  |    4    |    10   |  0.23441082498181678  | 1.7404695320959889 |
| correlation |  single  |   None  |    2    |    7    |  0.10558691435439148  | 0.6400659428737997 |
| correlation |  single  |   None  |    2    |    8    |  0.10544410776950998  | 0.6588840565622316 |
| correlation |  single  |   None  |    2    |    9    |  0.09026133848192895  | 0.6928427141821355 |
| correlation |  single  |   None  |    2    |    10   |  0.09007104018601089  | 0.6798527171437307 |
| correlation |  single  |   None  |    3    |    7    |  0.10558691435439148  | 0.6400659428737997 |
| correlation |  single  |   None  |    3    |    8    |  0.10544410776950998  | 0.6588840565622316 |
| correlation |  single  |   None  |    3    |    9    |  0.09026133848192895  | 0.6928427141821355 |
| correlation |  single  |   None  |    3    |    10   |  0.09007104018601089  | 0.6798527171437307 |
| correlation |  single  |   None  |    4    |    7    |  0.10558691435439148  | 0.6400659428737997 |
| correlation |  single  |   None  |    4    |    8    |  0.10544410776950998  | 0.6588840565622316 |
| correlation |  single  |   None  |    4    |    9    |  0.09026133848192895  | 0.6928427141821355 |
| correlation |  single  |   None  |    4    |    10   |  0.09007104018601089  | 0.6798527171437307 |
| correlation |  single  |  lastp  |    2    |    7    |  0.10558691435439148  | 0.6400659428737997 |
| correlation |  single  |  lastp  |    2    |    8    |  0.10544410776950998  | 0.6588840565622316 |
| correlation |  single  |  lastp  |    2    |    9    |  0.09026133848192895  | 0.6928427141821355 |
| correlation |  single  |  lastp  |    2    |    10   |  0.09007104018601089  | 0.6798527171437307 |
| correlation |  single  |  lastp  |    3    |    7    |  0.10558691435439148  | 0.6400659428737997 |
| correlation |  single  |  lastp  |    3    |    8    |  0.10544410776950998  | 0.6588840565622316 |
| correlation |  single  |  lastp  |    3    |    9    |  0.09026133848192895  | 0.6928427141821355 |
| correlation |  single  |  lastp  |    3    |    10   |  0.09007104018601089  | 0.6798527171437307 |
